pagina,titulo,post_id,tag_sugerida,TAG_NO_CLINT
magic-shadow-by-james-olaya-up,"Efeito Magic Shadow - Curso de Micropigmentação James Olaya",11584,MAGIC_SHADOW_BY_JAMES_OLAYA_UP,
magic-shadow-by-james-olaya-v2,"Magic Shadow by James Olaya v2",11584,MAGIC_SHADOW_BY_JAMES_OLAYA_V2,
magic-shadow-ciafol-bordas,"[ACAO] MAGIC SHADOW ADV Campanha - CIAFOL BORDAS",17697,MAGIC_SHADOW_CIAFOL_BORDAS,
magic-shadow-ciafol-escolhas,"[ACAO] JAYREMOVE Campanha - CIAFOL ESCOLHA",17708,MAGIC_SHADOW_CIAFOL_ESCOLHAS,
magic-shadow-ciafol-naturals,"[ACAO] LIPS SENSE Campanha - CIAFOL- SHADOW- NATURAL",17702,MAGIC_SHADOW_CIAFOL_NATURALS,
masterclass-prime-lips-by-james-olaya,"Curso de Micropigmentação Labial com James Olaya",11584,MASTERCLASS_PRIME_LIPS_BY_JAMES_OLAYA,
metodo-shadow-pro,"Método Shadow PRO — James Olaya | Shadow Natural com degradê limpo",,METODO_SHADOW_PRO,
obrigado-lips-sense-technic,"Obrigado - Lips Sense Technic",11584,OBRIGADO_LIPS_SENSE_TECHNIC,
pdv-lips-sense-technique,"PDV Lips Sense Technique",11584,LIPS_SENSE_TECHNIQUE,
pdv-lips-sense-technique-v2,"PDV Lips Sense Technique - v2",11584,LIPS_SENSE_TECHNIQUE_V2,
pmu-class-super-oferta,"[ONLINE] PMU Class Super Oferta",11584,PMU_CLASS_SUPER_OFERTA,
pmu-pro,"PMU PRO - A Carreira de professor que você sempre sonhou!",2592,PMU_PRO,
pmuclass,"PMU CLASS — Escola de Micropigmentação James Olaya",,PMUCLASS,
remove_ad_b,"[ACAO] JAYREMOVE Campanha - REMOVE_AD_B",17470,REMOVE_AD_B,
remove_ad_m,"[ACAO] JAYREMOVE Campanha - REMOVE_AD_M",17436,REMOVE_AD_M,
remove_fd_b,"[ACAO] JAYREMOVE Campanha - REMOVE_FD_B",17431,REMOVE_FD_B,
remove_fd_b-copia-2,"[ACAO] JAYREMOVE Campanha - REMOVE_FD_B",17431,REMOVE_FD_B_COPIA_2,
remove_fd_m,"[ACAO] JAYREMOVE Campanha - REMOVE_FD_M",17430,REMOVE_FD_M,
remove_st_b,"[ACAO] JAYREMOVE Campanha - REMOVE_ST_B",17429,REMOVE_ST_B,
remove_st_m,"[ACAO] JAYREMOVE Campanha - REMOVE_ST_M",17428,REMOVE_ST_M,
remove_st_t,"[ACAO] JAYREMOVE Campanha - REMOVE_ST_T",17478,REMOVE_ST_T,
stbrows,"[ACAO] STBROWS Contato Instagram by James Olaya",17386,STBROWS,
stnano,"[ACAO] STNANO Contato Instagram by James Olaya",17363,STNANO,
up-fio-a-fio-magic-shadow,"Up Fio a Fio Magic Shadow",11584,FIO_A_FIO_MAGIC_SHADOW,
up-pmuclass-1,"PMU Upsell",11584,PMUCLASS_1,
